Class of Orbit;Country of Operator/Owner;Apogee (Kilometers);Contractor;COSPAR Number;Country of Contractor;Country/Organization of UN Registry;Eccentricity;Launch Site;Launch Vehicle;NORAD Number;Official Name of Satellite;Operator/Owner;Perigee (Kilometers);Purpose;Users
LEO;USA;1415;Thales Alenia Space;2010-054E;Italy;France;0.000128;Baikonur Cosmodrome;Soyuz-Fregat;37192;Globalstar M075;Globalstar;1413;Communications;Commercial
LEO;USA;1415;Thales Alenia Space;2010-054C;Italy;France;0.000193;Baikonur Cosmodrome;Soyuz-Fregat;37190;Globalstar M076;Globalstar;1412;Communications;Commercial
LEO;USA;1414;Thales Alenia Space;2010-054D;Italy;France;6.42e-05;Baikonur Cosmodrome;Soyuz-Fregat;37191;Globalstar M077;Globalstar;1413;Communications;Commercial
LEO;USA;1415;Thales Alenia Space;2013-005E;Italy;France;0.000193;Baikonur Cosmodrome;Soyuz.2.1a/Fregat;39076;Globalstar M078;Globalstar;1412;Communications;Commercial
LEO;USA;1414;Thales Alenia Space;2010-054A;Italy;France;6.42e-05;Baikonur Cosmodrome;Soyuz-Fregat;37188;Globalstar M079;Globalstar;1413;Communications;Commercial
LEO;USA;1414;Thales Alenia Space;2011-080B;Italy;France;6.42e-05;Baikonur Cosmodrome;Soyuz 2.1a/Fregat;38041;Globalstar M080;Globalstar;1413;Communications;Commercial
LEO;USA;1415;Thales Alenia Space;2011-033E;Italy;France;0.000193;Baikonur Cosmodrome;Soyuz 2.1a;37743;Globalstar M081;Globalstar;1412;Communications;Commercial
LEO;USA;1414;Thales Alenia Space;2011-080C;Italy;France;6.42e-05;Baikonur Cosmodrome;Soyuz 2.1a/Fregat;38042;Globalstar M082;Globalstar;1413;Communications;Commercial
LEO;USA;1414;Thales Alenia Space;2011-033A;Italy;France;6.42e-05;Baikonur Cosmodrome;Soyuz 2.1a;37739;Globalstar M083;Globalstar;1413;Communications;Commercial
LEO;USA;1414;Thales Alenia Space;2011-080A;Italy;France;6.42e-05;Baikonur Cosmodrome;Soyuz 2.1a/Fregat;38040;Globalstar M084;Globalstar;1413;Communications;Commercial
LEO;USA;1415;Thales Alenia Space;2011-033D;Italy;France;0.000128;Baikonur Cosmodrome;Soyuz 2.1a;37742;Globalstar M085;Globalstar;1413;Communications;Commercial
LEO;USA;1414;Thales Alenia Space;2011-080F;Italy;France;6.42e-05;Baikonur Cosmodrome;Soyuz 2.1a/Fregat;38045;Globalstar M086;Globalstar;1413;Communications;Commercial
LEO;USA;1415;Thales Alenia Space;2011-033B;Italy;France;0.000193;Baikonur Cosmodrome;Soyuz 2.1a;37740;Globalstar M088;Globalstar;1412;Communications;Commercial
LEO;USA;1415;Thales Alenia Space;2011-033F;Italy;France;0.000128;Baikonur Cosmodrome;Soyuz 2.1a;37744;Globalstar M089;Globalstar;1413;Communications;Commercial
